timestamp,username,ip_address,location,incident_type,risk_score,severity,ml_anomaly_score,is_ml_anomaly,reasons,recommended_action,decision_method,action_executed,action_type,action_details,action_timestamp,ticket_generated,ticket_id,ticket_path,timeline
2025-02-14 12:15:00,heatherwelch,132.186.38.236,"East Angelashire, Gambia",Brute Force Attempt,70.36,MEDIUM,28.6,0,"['High number of failed login attempts', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 132.186.38.236 was added to simulated block list.,2026-07-03T12:40:33.205073+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 28.6', '6. Final hybrid risk score assigned: 70.36', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 12:21:00,ryanmejia,19.236.248.159,"Port Michaelton, Ukraine",Possible Brute Force Success,75.72,HIGH,37.24,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user ryanmejia.,2026-07-03T12:40:33.210826+00:00,True,SOC-AI-20260703124033211308-ryanmejia-66938fed,reports/tickets/SOC-AI-20260703124033211308-ryanmejia-66938fed.txt,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 37.24', '6. Final hybrid risk score assigned: 75.72', '7. Automated action executed: Force Password Reset', '8. L2 escalation ticket generated: SOC-AI-20260703124033211308-ryanmejia-66938fed']"
2025-02-14 14:38:00,hjones,126.232.35.233,"Williamsfurt, American Samoa",Brute Force Attempt,58.86,MEDIUM,48.64,0,"['High number of failed login attempts', 'MFA is disabled', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 126.232.35.233 was added to simulated block list.,2026-07-03T12:40:33.219421+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 48.64', '6. Final hybrid risk score assigned: 58.86', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 16:19:00,goldenjudy,213.148.2.116,"South Bryanside, Samoa",Possible Brute Force Success,56.3,MEDIUM,68.02,0,"['High number of failed login attempts', 'MFA is disabled', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user goldenjudy.,2026-07-03T12:40:33.226072+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 68.02', '6. Final hybrid risk score assigned: 56.3', '7. Automated action executed: Force Password Reset', '8. L2 escalation ticket not required']"
2025-02-14 17:03:00,alyssa05,132.249.202.194,"Travisland, Guyana",Brute Force Attempt,74.48,MEDIUM,24.78,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 132.249.202.194 was added to simulated block list.,2026-07-03T12:40:33.231087+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 24.78', '6. Final hybrid risk score assigned: 74.48', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 17:26:00,lori95,142.22.217.111,"South Bradley, Algeria",Brute Force Attempt,61.38,MEDIUM,28.79,0,"['High number of failed login attempts', 'MFA is disabled', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 142.22.217.111 was added to simulated block list.,2026-07-03T12:40:33.235812+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 28.79', '6. Final hybrid risk score assigned: 61.38', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 17:54:00,joseph96,109.220.185.178,"Lishire, Kuwait",Brute Force Attempt,69.66,MEDIUM,21.63,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 109.220.185.178 was added to simulated block list.,2026-07-03T12:40:33.240848+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 21.63', '6. Final hybrid risk score assigned: 69.66', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 18:39:00,jennifer75,69.221.144.104,"Hurstfort, Bouvet Island (Bouvetoya)",Brute Force Attempt,68.89,MEDIUM,13.89,0,"['High number of failed login attempts', 'Device change detected', 'Suspicious activity flag detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 69.221.144.104 was added to simulated block list.,2026-07-03T12:40:33.246643+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: Device change detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 13.89', '6. Final hybrid risk score assigned: 68.89', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 19:04:00,qfisher,103.180.206.52,"Danielmouth, Canada",Brute Force Attempt,55.93,MEDIUM,64.3,0,"['High number of failed login attempts', 'MFA is disabled', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 103.180.206.52 was added to simulated block list.,2026-07-03T12:40:33.252384+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: High number of failed login attempts', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 64.3', '6. Final hybrid risk score assigned: 55.93', '7. Automated action executed: Temporary IP Block', '8. L2 escalation ticket not required']"
2025-02-14 20:19:00,max59,215.236.69.198,"New Christophertown, Ethiopia",Expired Session Abuse,69.05,MEDIUM,60.54,0,"['MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Invalidate expired tokens and investigate token reuse attempts.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Session Revocation,Active session revocation was simulated for user max59.,2026-07-03T12:40:33.260216+00:00,False,,,"['1. Raw authentication log ingested', '2. Log normalized and parsed', '3. Features extracted', '4. SOC reasoning: MFA is disabled', '4. SOC reasoning: Expired token usage detected', '4. SOC reasoning: Suspicious activity flag detected', '4. SOC reasoning: High threat level detected', '4. SOC reasoning: Blocked authentication attempt', '4. SOC reasoning: ML anomaly model did not strongly confirm behavioral abnormality', '5. ML anomaly score calculated: 60.54', '6. Final hybrid risk score assigned: 69.05', '7. Automated action executed: Session Revocation', '8. L2 escalation ticket not required']"
2025-02-14 21:03:00,longjoshua,196.84.190.96,"Guerreroshire, United States Minor Outlying Islands",Possible Brute Force Success,73.91,MEDIUM,19.05,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user longjoshua.,2026-07-03T12:40:33.265479+00:00,False,,,[]
2025-02-14 21:29:00,elliottchristopher,64.196.41.248,"Lake Dennisport, Ireland",Potential MFA Bypass,56.97,MEDIUM,29.72,0,"['MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']",Force MFA re-enrollment and verify user identity.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,MFA Enforcement,MFA re-authentication was simulated for user elliottchristopher.,2026-07-03T12:40:33.269485+00:00,False,,,[]
2025-02-14 21:52:00,wellsmegan,37.187.52.64,"Carltown, Bolivia",Brute Force Attempt,64.96,MEDIUM,19.59,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 37.187.52.64 was added to simulated block list.,2026-07-03T12:40:33.272569+00:00,False,,,[]
2025-02-14 23:04:00,john74,174.151.162.202,"Joelburgh, Rwanda",Brute Force Attempt,75.47,HIGH,34.74,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'MFA is disabled', 'Suspicious activity flag detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 174.151.162.202 was added to simulated block list.,2026-07-03T12:40:33.277082+00:00,True,SOC-AI-20260703124033277651-john74-8c97f385,reports/tickets/SOC-AI-20260703124033277651-john74-8c97f385.txt,[]
2025-02-14 23:23:00,tchen,96.175.109.50,"Bonillatown, Guadeloupe",Possible Brute Force Success,56.15,MEDIUM,21.46,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'MFA is disabled', 'Suspicious activity flag detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user tchen.,2026-07-03T12:40:33.282320+00:00,False,,,[]
2025-02-15 02:45:00,mark84,168.201.183.187,"Hillland, Slovakia (Slovak Republic)",Possible Brute Force Success,63.9,MEDIUM,62.24,1,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'Device change detected', 'Expired token usage detected', 'Suspicious activity flag detected', 'ML anomaly model confirmed abnormal authentication behavior']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user mark84.,2026-07-03T12:40:33.287519+00:00,False,,,[]
2025-02-15 04:01:00,reesejames,211.226.250.183,"Terrytown, Tonga",Possible Brute Force Success,70.58,MEDIUM,30.78,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'MFA is disabled', 'Expired token usage detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user reesejames.,2026-07-03T12:40:33.291129+00:00,False,,,[]
2025-02-15 04:41:00,kellyjoy,84.222.124.90,"South Markberg, Solomon Islands",Possible Brute Force Success,56.74,MEDIUM,27.38,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'Expired token usage detected', 'High threat level detected', 'ML anomaly model did not strongly confirm behavioral abnormality']","Force password reset, terminate active sessions, and escalate to L2 analyst.",Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Force Password Reset,Password reset was simulated for user kellyjoy.,2026-07-03T12:40:33.294135+00:00,False,,,[]
2025-02-15 04:54:00,jenniferstevens,162.179.81.168,"Lake Jaclynshire, Saint Kitts and Nevis",Brute Force Attempt,62.44,MEDIUM,39.37,0,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'Expired token usage detected', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 162.179.81.168 was added to simulated block list.,2026-07-03T12:40:33.297121+00:00,False,,,[]
2025-02-15 05:10:00,emartinez,129.134.206.38,"South Sean, Syrian Arab Republic",Brute Force Attempt,77.89,HIGH,52.22,1,"['High number of failed login attempts', 'Login attempt occurred during unusual hours', 'Device change detected', 'MFA is disabled', 'Expired token usage detected', 'High threat level detected', 'Blocked authentication attempt', 'ML anomaly model confirmed abnormal authentication behavior']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 129.134.206.38 was added to simulated block list.,2026-07-03T12:40:33.300736+00:00,True,SOC-AI-20260703124033301321-emartinez-1796078d,reports/tickets/SOC-AI-20260703124033301321-emartinez-1796078d.txt,[]
2025-02-15 06:39:00,lopezsteven,200.244.119.67,"Samuelside, Nigeria",Brute Force Attempt,65.36,MEDIUM,23.55,0,"['High number of failed login attempts', 'MFA is disabled', 'Expired token usage detected', 'Suspicious activity flag detected', 'Blocked authentication attempt', 'ML anomaly model did not strongly confirm behavioral abnormality']",Temporarily block source IP for 15 minutes and enforce CAPTCHA or account lockout.,Adaptive Hybrid Scoring (Rule-Based SOC Logic + ML Behavioral Anomaly),True,Temporary IP Block,Source IP 200.244.119.67 was added to simulated block list.,2026-07-03T12:40:33.305999+00:00,False,,,[]
